key,name,provider,provider_slug,category,category_label,benefit_type,application_status,application_status_source_url,application_status_checked_at,value_text,value_usd,eligibility,stages,max_funding_raised_usd,max_company_age_years,geographies,recurring_or_expiry,other_requirements,confidence,last_verified,source_url,apply_url,url
superhuman-for-startups,Superhuman for Startups,Superhuman,superhuman,productivity-saas,Productivity & SaaS,Discount,unknown,,,One year free,,VC / accelerator-backed,pre-seed; seed; series-a,10000000,,,One free year on the Business plan.,"Must have raised no more than $10M in equity, have fewer than 50 employees, be associated with an approved startup partner, and not be an existing Superhuman Mail customer.",high,2026-09-08T00:00:30.224Z,https://superhuman.com/products/mail/startups,https://superhuman.com/products/mail/startups,https://startupperks.co/programs/superhuman-for-startups
docusign-for-startups,DocuSign for Startups,DocuSign,docusign,productivity-saas,Productivity & SaaS,Discount,unknown,,,Save up to 40% off for two years,,VC / accelerator-backed,seed; series-a; series-b-plus,,,,Discount applies for two years.,Must be funded by a VC firm with a DocuSign partnership. Restrictions may apply.,high,2026-09-08T00:00:30.224Z,https://www.docusign.com/lp/startups,https://www.docusign.com/lp/startups,https://startupperks.co/programs/docusign-for-startups
asana-for-startups,Asana for Startups,Asana,asana,productivity-saas,Productivity & SaaS,Discount,unknown,,,Discounted Starter/Advanced for first 12 months,,VC / accelerator-backed,idea; pre-seed; seed; series-a,,,,Discount applies to the first 12 months.,"Only Series A or earlier startups qualify. Must be a new user or on Asana's free plan; companies on paid plans or that upgraded within the last 60 days are ineligible. One redemption per startup, non-transferable.",medium,,https://asana.com/startups,https://asana.com/startups,https://startupperks.co/programs/asana-for-startups
help-scout-for-startups,Help Scout for Startups,Help Scout,help-scout,productivity-saas,Productivity & SaaS,Discount,unknown,,,6 months free,,Incorporated,idea; pre-seed; seed,,2,,"6 months free, then standard pricing.","Must be a new Help Scout customer, an incorporated tech startup less than two years old, generating under $1M in annual recurring revenue (ARR).",high,2026-09-08T00:00:41.373Z,https://www.helpscout.com/startups/,https://www.helpscout.com/startups/,https://startupperks.co/programs/help-scout-for-startups
statsig-for-startups,Statsig for Startups,Statsig,statsig,dev-tools,Developer Tools,Credits,unknown,,,$50k in credits,50000,Any startup,seed; series-a; series-b-plus; pre-seed,50000000,5,,12 months of Enterprise-tier access.,Company founded less than 5 years ago and has raised less than $50M in funding.,high,2026-09-08T00:00:41.373Z,https://statsig.com/startups,https://statsig.com/startups,https://startupperks.co/programs/statsig-for-startups
teamwork-for-startups,Teamwork for Startups,Teamwork,teamwork,productivity-saas,Productivity & SaaS,Discount,unknown,,,All Teamwork.com products free for one year,,Any startup,pre-seed; seed; series-a,,,,1 year (365 days) of free access.,Accounts with an existing monthly or annual subscription are ineligible. Participants must agree to a testimonial/case study during the program.,medium,2026-09-08T00:00:41.373Z,https://www.teamwork.com/startups/,https://www.teamwork.com/startups/,https://startupperks.co/programs/teamwork-for-startups
attio-startup-program,Attio Startup Program,Attio,attio,marketing-sales,Marketing & Sales,Discount,unknown,,,80% off Attio,,VC / accelerator-backed,pre-seed; seed; series-a,,,,Year-one and year-two tiered discount; no stated application deadline.,Must be venture-backed or affiliated with an Attio startup partner.,high,2026-09-08T06:00:20.956Z,https://attio.com/startups,https://attio.com/startups,https://startupperks.co/programs/attio-startup-program
sanity-startup-program,Sanity Startup Program,Sanity,sanity,productivity-saas,Productivity & SaaS,Discount,unknown,,,1 year of free access to Sanity's Growth plan (value up to $9000),9000,VC / accelerator-backed,pre-seed; seed; series-a,5000000,,,"12-month free term, then $15/seat/month Growth plan.","Fewer than 20 employees, raised under $5M total, and not currently a paying Sanity customer. Available only through partner VC firms/incubators.",high,2026-09-08T06:00:20.956Z,https://www.sanity.io/startups,https://www.sanity.io/startups,https://startupperks.co/programs/sanity-startup-program
pendo-for-startups,Pendo for Startups (Pendo Free),Pendo,pendo,productivity-saas,Productivity & SaaS,Free plan,unknown,,,"Free forever, no credit card",,No funding needed,idea; pre-seed; seed,,,,Free forever within the 500 MAU limit.,Capped at 500 monthly active users; open and self-serve (no gated startup application).,medium,2026-09-08T06:00:20.956Z,https://www.pendo.io/pendo-for-startups/,https://www.pendo.io/pendo-for-startups/,https://startupperks.co/programs/pendo-for-startups
clevertap-for-startups,CleverTap for Startups,CleverTap,clevertap,marketing-sales,Marketing & Sales,Discount,unknown,,,90% off Essentials for 6 months,,Any startup,seed; series-a; any,,,,"6-month discounted term (promotional, time-limited).",The 90% discount is not gated by funding/stage on the page; Leap credits are invite-only.,medium,,https://clevertap.com/startups/,https://clevertap.com/startups/,https://startupperks.co/programs/clevertap-for-startups
vidyard-for-startups,Vidyard for Startups,Vidyard,vidyard,marketing-sales,Marketing & Sales,Discount,unknown,,,25% or more off select enterprise-grade features,,Any startup,pre-seed; seed; series-a; any,,,,Not stated.,Page states 'your startup could be eligible' but does not publish concrete eligibility criteria; confirmed through sales.,medium,2026-09-08T06:00:29.124Z,https://www.vidyard.com/startups,https://www.vidyard.com/startups,https://startupperks.co/programs/vidyard-for-startups
persona-startup-program,Persona Startup Program,Persona,persona,security-legal-hr,"Security, Legal & HR",Credits,unknown,,,500 free verifications every month for a full year,,No funding needed,idea; pre-seed; seed,5000000,,,"500 free services/month for 12 months, then $1 per service ($1.50 fintech)","Cohorts: General (gig, marketplace, ecommerce) and Fintech (fintech, crypto, proptech). Eligibility: under $5M funding, under 50 employees, or an independently owned small business.",high,2026-09-08T06:00:29.124Z,https://help.withpersona.com/articles/1XNnqukfZY9VamF2e7jkuJ/,https://withpersona.com/startups,https://startupperks.co/programs/persona-startup-program
stytch-startup-program,Stytch Startup Program,Stytch,stytch,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free until Series A (up to $5K credits),,VC / accelerator-backed,idea; pre-seed; seed,5000000,2,,"Free until Series A, >$5M raised, or 2 years since incorporation, whichever comes first",,medium,,https://stytch.com/credits,https://stytch.com/credits,https://startupperks.co/programs/stytch-startup-program
kinde-free-plan,Kinde Free Plan,Kinde,kinde,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,$0,0,No funding needed,any,,,,"Free forever within the 10,500-MAU limit",,high,2026-09-08T06:00:37.265Z,https://kinde.com/pricing/,https://kinde.com/pricing/,https://startupperks.co/programs/kinde-free-plan
snyk-free,Snyk Free,Snyk,snyk,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free security scanning (SCA/SAST/IaC/container),,No funding needed,any,,,,"Free, subject to the stated monthly test limits",,high,,https://snyk.io/plans/,https://snyk.io/plans/,https://startupperks.co/programs/snyk-free
gitguardian-free-starter,GitGuardian Free (Starter),GitGuardian,gitguardian,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free for repositories hosted under your GitHub Organization,,No funding needed,any,,,,Free within the 25-developer / stated feature limits,,high,2026-09-08T06:00:37.265Z,https://www.gitguardian.com/pricing,https://www.gitguardian.com/pricing,https://startupperks.co/programs/gitguardian-free-starter
semgrep-community-free,Semgrep Community (Free),Semgrep,semgrep,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free for up to 10 contributors / 10 repos,,No funding needed,any,,,,Free within the 10-contributor / 10-repository limit,,high,,https://semgrep.dev/pricing/,https://semgrep.dev/pricing/,https://startupperks.co/programs/semgrep-community-free
common-paper-standard-agreements,Common Paper Standard Agreements,Common Paper,common-paper,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free standard legal agreements,,No funding needed,any,,,,Standard agreements and free plan available on an ongoing basis,,high,,https://commonpaper.com/,https://commonpaper.com/,https://startupperks.co/programs/common-paper-standard-agreements
bonterms-standard-agreements,Bonterms Standard Agreements,Bonterms,bonterms,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free legal contract templates,,No funding needed,any,,,,Free templates available on an ongoing basis,,high,,https://bonterms.com/,https://bonterms.com/,https://startupperks.co/programs/bonterms-standard-agreements
vouch-startup-insurance,Vouch Startup Insurance,Vouch,vouch,security-legal-hr,"Security, Legal & HR",Discount,unknown,,,"Startup insurance (D&O, E&O, Cyber)",,No funding needed,pre-seed; seed; series-a; series-b-plus,,,United States,Ongoing insurance product; annual policies,,medium,,https://www.vouch.us/,https://www.vouch.us/,https://startupperks.co/programs/vouch-startup-insurance
newfront-startup-insurance,Newfront Startup Insurance,Newfront,newfront,security-legal-hr,"Security, Legal & HR",Discount,unknown,,,Startup insurance brokerage,,No funding needed,seed; series-a; series-b-plus,,,,Ongoing brokerage relationship; annual policies,,medium,,https://www.newfront.com/,https://www.newfront.com/,https://startupperks.co/programs/newfront-startup-insurance
plivo-plivo-startup-credits-program,Plivo Startup Credits Program,Plivo,plivo,marketing-sales,Marketing & Sales,Credits,unknown,,,"₹1,000 in free credits",,Referral required,pre-seed; seed; series-a,,,,Ongoing program,"Must be backed by one of Plivo's partner funds/accelerators. Named partner funds include Y Combinator, Techstars, Antler, South Park Commons, Nexus Ventures, Lightspeed, Elevation Capital, Blume Ventures, Kae Capital, Together Fund, Initialized Capital, Boldstart Ventures, Focal, and Upekkha.",high,2026-09-09T00:00:26.767Z,https://www.plivo.com/startups/,https://www.plivo.com/startups/,https://startupperks.co/programs/plivo-plivo-startup-credits-program
moengage-moengage-growthaccelerator-startup-program,MoEngage GrowthAccelerator (Startup Program),MoEngage,moengage,marketing-sales,Marketing & Sales,Credits,unknown,,,MoEngage platform credits + 4-week growth accelerator + up to 5 hours free growth consulting,,Any startup,pre-seed; seed,5000000,3,,Ongoing program,"B2C brand, less than 3 years old, fewer than 100,000 monthly active users, and total funding between $500,000 and $5M.",high,,https://growth-accelerator.moengage.com/,https://growth-accelerator.moengage.com/,https://startupperks.co/programs/moengage-moengage-growthaccelerator-startup-program
infobip-infobip-startup-tribe,Infobip Startup Tribe,Infobip,infobip,marketing-sales,Marketing & Sales,Credits,unknown,,,"Up to $60,000 in credits",60000,No funding needed,idea; pre-seed; seed; series-a,,,,Ongoing program,"Open to startups regardless of location, industry, or funding backing.",high,2026-09-09T00:00:43.645Z,https://www.infobip.com/startups,https://www.infobip.com/startups,https://startupperks.co/programs/infobip-infobip-startup-tribe
dialpad-dialpad-for-startups,Dialpad for Startups,Dialpad,dialpad,marketing-sales,Marketing & Sales,Free plan,unknown,,,"10 Free Seats of Dialpad Connect and Dialpad Meetings, for life",,VC / accelerator-backed,pre-seed; seed; series-a,,,,Ongoing program,Must be a technology startup with secured accredited Angel/VC investment (investment requirement waived for the Tech for Black Founders and Diversity in Tech tracks); scalable business.,high,2026-09-09T00:00:43.645Z,https://www.dialpad.com/startups/,https://www.dialpad.com/startups/,https://startupperks.co/programs/dialpad-dialpad-for-startups
vonage-vonage-for-startups,Vonage for Startups,Vonage,vonage,marketing-sales,Marketing & Sales,Credits,unknown,,,"Up to $75,000 in Vonage API credits",75000,Any startup,pre-seed; seed; series-a,,,,Ongoing program,Application-based; program is aimed at high-impact early-stage builders using Vonage Communications and Network APIs.,high,2026-09-09T00:00:43.645Z,https://developer.vonage.com/startups,https://developer.vonage.com/startups,https://startupperks.co/programs/vonage-vonage-for-startups
bigmarker-bigmarker-for-startups,BigMarker for Startups,BigMarker,bigmarker,marketing-sales,Marketing & Sales,Discount,unknown,,,50% off first 2 months,,No funding needed,idea; pre-seed; seed; any,,,,Ongoing offer,No stated funding or age requirement; discount code is unlocked by completing one of the three onboarding actions.,medium,,https://www.bigmarker.com/startups,https://www.bigmarker.com/startups,https://startupperks.co/programs/bigmarker-bigmarker-for-startups
aerospike-aerospike-cloud-for-startups,Aerospike Cloud for Startups,Aerospike,aerospike,databases-data,Databases & Data,Credits,unknown,,,$300 in credits,300,Any startup,idea; pre-seed; seed,,,,Ongoing; no stated end date,Aimed at early-stage companies still in their growth window; new to Aerospike Cloud.,high,2026-09-09T06:00:34.315Z,https://aerospike.com/get/cloud-for-startups/,https://aerospike.com/get/cloud-for-startups/,https://startupperks.co/programs/aerospike-aerospike-cloud-for-startups
stigg-stigg-build-free-plan,Stigg Build (free) plan,Stigg,stigg,finance-ops,Finance & Ops,Free plan,unknown,,,Free forever (Build plan),,No funding needed,idea; pre-seed; seed,,,,Ongoing free tier,Usage/entity limits apply on the free tier.,high,,https://www.stigg.io/pricing,https://www.stigg.io/pricing,https://startupperks.co/programs/stigg-stigg-build-free-plan
revenuecat-revenuecat-free-plan,RevenueCat Free plan,RevenueCat,revenuecat,finance-ops,Finance & Ops,Free plan,unknown,,,"Pay nothing for up to $2,500 in monthly tracked revenue",2500,No funding needed,idea; pre-seed; seed,,,,Ongoing free tier,"Stays free only while monthly tracked revenue is below $2,500.",high,2026-09-09T06:00:34.315Z,https://www.revenuecat.com/pricing,https://www.revenuecat.com/pricing,https://startupperks.co/programs/revenuecat-revenuecat-free-plan
cribl-cribl-for-startups,Cribl for Startups,Cribl,cribl,databases-data,Databases & Data,Free plan,unknown,,,Free access to Cribl.Cloud (Stream + Search) + dedicated support,,Any startup,idea; pre-seed; seed,,,,Ongoing; live 'Apply now' CTA,For companies 'just getting started or scaling up'; specific funding/age thresholds not published.,high,,https://cribl.io/startup/,https://cribl.io/startup/,https://startupperks.co/programs/cribl-cribl-for-startups
ledgy-ledgy-launch-free-plan,Ledgy Launch (free) plan,Ledgy,ledgy,finance-ops,Finance & Ops,Free plan,unknown,,,Free up to 50 stakeholders,,No funding needed,pre-seed; seed,,,,Ongoing free tier,Free up to 50 stakeholders (page also cites a 25-stakeholder entry point).,high,,https://ledgy.com/company-pricing,https://ledgy.com/company-pricing,https://startupperks.co/programs/ledgy-ledgy-launch-free-plan
couchbase-capella-develop-starter-kit,Capella Develop Starter Kit,Couchbase,couchbase,databases-data,Databases & Data,Credits,unknown,,,"Free $12,750 Capella Develop Starter Kit",12750,No funding needed,any,,,,Limited-time promotion for new Couchbase Capella customers,Must be a new Couchbase Capella customer; European and Indian applicants require a VAT number.,medium,2026-09-09T06:00:42.738Z,https://info.couchbase.com/aws-activate.html,https://info.couchbase.com/aws-activate.html,https://startupperks.co/programs/couchbase-capella-develop-starter-kit
singlestore-dot-product-accelerator-ai-startup-program,dot_product Accelerator (AI startup program),SingleStore,singlestore,databases-data,Databases & Data,Program,unknown,,,SingleStore credits for eligible AI startups (amount not published),,Any startup,pre-seed; seed,,,Asia Pacific; India; Singapore,Cohort/accelerator style; current openness not confirmed,AI startups; Asia Pacific focus (India and Singapore highlighted).,low,,https://www.singlestore.com/media-hub/releases/singlestore-launches-dot-product-accelerator-ai-program/,https://www.singlestore.com/media-hub/releases/singlestore-launches-dot-product-accelerator-ai-program/,https://startupperks.co/programs/singlestore-dot-product-accelerator-ai-startup-program
schematic-schematic-free-plan,Schematic Free plan,Schematic,schematic,finance-ops,Finance & Ops,Free plan,unknown,,,Free up to 10 monetized subscriptions,,No funding needed,idea; pre-seed; seed,,,,Ongoing free tier,Capped at 10 monetized subscriptions before an upgrade is required.,high,,https://schematichq.com/pricing,https://schematichq.com/pricing,https://startupperks.co/programs/schematic-schematic-free-plan
qapita-qapita-spark-free-plan,Qapita Spark (free) plan,Qapita,qapita,finance-ops,Finance & Ops,Free plan,unknown,,,Free up to 25 stakeholders (<$1M raised),,No funding needed,idea; pre-seed; seed,1000000,,,Ongoing free tier,Eligibility: up to 25 stakeholders and under $1M raised.,high,,https://www.qapita.com/pricing,https://www.qapita.com/pricing,https://startupperks.co/programs/qapita-qapita-spark-free-plan
connecteam-connecteam-small-business-free-plan,Connecteam Small Business (free) plan,Connecteam,connecteam,finance-ops,Finance & Ops,Free plan,unknown,,,Free forever for up to 10 users,,No funding needed,idea; pre-seed; seed,,,,Ongoing free tier,Free for organizations with 10 or fewer users.,high,,https://connecteam.com/pricing/,https://connecteam.com/pricing/,https://startupperks.co/programs/connecteam-connecteam-small-business-free-plan
papermark-papermark-free-plan-open-source-data-room,Papermark Free plan (open-source data room),Papermark,papermark,finance-ops,Finance & Ops,Free plan,unknown,,,"Free plan (open-source, self-hostable)",,No funding needed,pre-seed; seed; series-a,,,,Ongoing free tier,Advanced data-room features require a paid plan.,high,,https://www.papermark.com/pricing,https://www.papermark.com/pricing,https://startupperks.co/programs/papermark-papermark-free-plan-open-source-data-room
foundersuite-foundersuite-basic-free-plan,Foundersuite Basic (free) plan,Foundersuite,foundersuite,finance-ops,Finance & Ops,Free plan,unknown,,,$0,0,No funding needed,pre-seed; seed; series-a,,,,Ongoing free tier,75 investors per pipeline on the free tier; data room is a paid add-on.,high,2026-09-09T12:00:30.579Z,https://foundersuite.com/pricing,https://foundersuite.com/pricing,https://startupperks.co/programs/foundersuite-foundersuite-basic-free-plan
pandle-pandle-free-accounting-plan,Pandle Free accounting plan,Pandle,pandle,finance-ops,Finance & Ops,Free plan,unknown,,,Free plan (no usage limits),,No funding needed,idea; pre-seed; seed,,,United Kingdom,Ongoing free tier,UK businesses; advanced features require Pandle Pro.,high,,https://www.pandle.com/,https://www.pandle.com/,https://startupperks.co/programs/pandle-pandle-free-accounting-plan
kill-bill-kill-bill-open-source-billing-free,Kill Bill open-source billing (free),Kill Bill,kill-bill,finance-ops,Finance & Ops,Free plan,unknown,,,Free open-source (self-hosted),,No funding needed,pre-seed; seed,,,,Ongoing (open-source),Self-hosting requires your own infrastructure and ops.,medium,,https://killbill.io/,https://github.com/killbill/killbill,https://startupperks.co/programs/kill-bill-kill-bill-open-source-billing-free
expensify-expensify-free-plan-expensify-card,Expensify Free plan + Expensify Card,Expensify,expensify,banking-fintech,Banking & Fintech,Free plan,unknown,,,Free plan; Expensify Card 1% cash back (2% over $250k/mo),,No funding needed,idea; pre-seed; seed; any,,,United States,Ongoing,Expensify Card requires linking a verified US business bank account.,medium,,https://help.expensify.com/articles/expensify-classic/getting-started/playbooks/Expensify-Playbook-For-US-Based-Bootstrapped-Startups,https://www.expensify.com/,https://startupperks.co/programs/expensify-expensify-free-plan-expensify-card
bill-divvy-bill-spend-expense-formerly-divvy,BILL Spend & Expense (formerly Divvy),BILL Spend & Expense (Divvy),bill-divvy,banking-fintech,Banking & Fintech,Free plan,unknown,,,Free spend management + corporate cards; rewards program,,No funding needed,seed; series-a; any,,,United States,Ongoing,Card/credit-line approval based on business qualification.,medium,,https://www.bill.com/product/spend-and-expense,https://www.bill.com/product/spend-and-expense,https://startupperks.co/programs/bill-divvy-bill-spend-expense-formerly-divvy
homebase-homebase-basic-free-plan,Homebase Basic (free) plan,Homebase,homebase,finance-ops,Finance & Ops,Free plan,unknown,,,$0/location/month,0,No funding needed,idea; pre-seed; seed,,,United States; Canada,Ongoing free tier,Free tier limited to 1 location and 10 employees.,high,2026-09-09T12:00:46.283Z,https://joinhomebase.com/pricing,https://joinhomebase.com/pricing,https://startupperks.co/programs/homebase-homebase-basic-free-plan
lago-lago-open-source-billing-self-hosted-free,"Lago open-source billing (self-hosted, free)",Lago,lago,finance-ops,Finance & Ops,Free plan,unknown,,,Free open-source (self-hosted),,No funding needed,pre-seed; seed,,,,Ongoing (open-source),Self-hosting requires your own infrastructure.,medium,,https://www.getlago.com/,https://github.com/getlago/lago,https://startupperks.co/programs/lago-lago-open-source-billing-self-hosted-free
settle-settle-launch-free-plan,Settle Launch (free plan),Settle,settle,banking-fintech,Banking & Fintech,Free plan,unknown,,,Free,,No funding needed,seed; series-a; any,,,United States,Ongoing,Working-capital financing subject to approval.,medium,2026-09-09T12:00:46.283Z,https://www.settle.com/pricing,https://www.settle.com/pricing,https://startupperks.co/programs/settle-settle-launch-free-plan
flex-flex-business-banking-cards,Flex Business Banking & Cards,Flex,flex,banking-fintech,Banking & Fintech,Cash & rewards,unknown,,,2% cash back business card; Net-60 0% for 60 days; banking + working capital,,No funding needed,seed; series-a; any,,,United States,Ongoing,Card approval and net-60 terms subject to underwriting.,medium,,https://www.flex.one/,https://www.flex.one/,https://startupperks.co/programs/flex-flex-business-banking-cards
eqvista-eqvista-freemium-cap-table,Eqvista Freemium Cap Table,Eqvista,eqvista,finance-ops,Finance & Ops,Free plan,unknown,,,Free for under 20 stakeholders,,No funding needed,idea; pre-seed; seed,,,,Ongoing free tier,Free below 20 stakeholders.,high,,https://eqvista.com/pricing/,https://eqvista.com/pricing/,https://startupperks.co/programs/eqvista-eqvista-freemium-cap-table
ansarada-ansarada-free-until-live-data-room,Ansarada free-until-live data room,Ansarada,ansarada,finance-ops,Finance & Ops,Free plan,unknown,,,Free until deal goes live (or 90 days),,No funding needed,seed; series-a; series-b-plus,,,,Free during preparation phase,Becomes billable once the transaction goes live or after 90 days.,high,,https://www.ansarada.com/pricing,https://www.ansarada.com/pricing,https://startupperks.co/programs/ansarada-ansarada-free-until-live-data-room
mesh-payments-mesh-payments-pro-free-plan,Mesh Payments Pro (free) plan,Mesh Payments,mesh-payments,finance-ops,Finance & Ops,Free plan,unknown,,,Free Pro plan (up to 3 users),,No funding needed,pre-seed; seed,,,United States,Ongoing free tier,Free for up to 3 users.,high,,https://www.meshpayments.com/pricing,https://www.meshpayments.com/pricing,https://startupperks.co/programs/mesh-payments-mesh-payments-pro-free-plan
jp-morgan-innovation-economy-banking-j-p-morgan-for-startups,Innovation Economy Banking (J.P. Morgan for Startups),J.P. Morgan,jp-morgan,banking-fintech,Banking & Fintech,Program,unknown,,,No fees for up to three years on included services,,Any startup,pre-seed; seed; series-a; series-b-plus; any,,,United States,Ongoing,Aimed at innovation-economy / venture-backed startups.,high,2026-09-09T18:00:26.892Z,https://www.jpmorgan.com/commercial-banking/startups,https://www.jpmorgan.com/commercial-banking/startups,https://startupperks.co/programs/jp-morgan-innovation-economy-banking-j-p-morgan-for-startups
mesh-payments-mesh-pro-free-plan,Mesh Pro (free plan),Mesh Payments,mesh-payments,banking-fintech,Banking & Fintech,Free plan,unknown,,,No cost for up to 3 users,,No funding needed,pre-seed; seed; any,,,United States,Ongoing,Free tier limited to 3 or fewer users; cash back requires $50k+ monthly spend.,medium,2026-09-09T18:00:26.892Z,https://www.meshpayments.com/pricing,https://www.meshpayments.com/pricing,https://startupperks.co/programs/mesh-payments-mesh-pro-free-plan
remofirst-remofirst-free-contractor-management,RemoFirst free contractor management,RemoFirst,remofirst,finance-ops,Finance & Ops,Free plan,unknown,,,FREE tier,0,No funding needed,seed; series-a,,,,Ongoing free tier,Paid EOR ($199/person/mo) and premium contractor features are separate.,medium,2026-09-09T18:00:40.610Z,https://remofirst.com/pricing,https://remofirst.com/pricing,https://startupperks.co/programs/remofirst-remofirst-free-contractor-management
togai-togai-starter-free-plan,Togai Starter (free) plan,Togai,togai,finance-ops,Finance & Ops,Free plan,unknown,,,Free Starter plan,,No funding needed,pre-seed; seed,,,,Ongoing free tier,Volume limits apply on the free tier (not fully published).,medium,,https://www.togai.com/pricing,https://www.togai.com/pricing,https://startupperks.co/programs/togai-togai-starter-free-plan
orangehrm-orangehrm-starter-free-open-source,OrangeHRM Starter (free & open-source),OrangeHRM,orangehrm,finance-ops,Finance & Ops,Free plan,unknown,,,Completely free,,No funding needed,pre-seed; seed; series-a,,,,Ongoing (open-source),Advanced modules require the paid Advanced edition.,high,2026-09-09T18:00:40.610Z,https://www.orangehrm.com/pricing,https://www.orangehrm.com/pricing,https://startupperks.co/programs/orangehrm-orangehrm-starter-free-open-source
grasshopper-bank-accelerator-checking,Accelerator Checking,Grasshopper Bank,grasshopper-bank,banking-fintech,Banking & Fintech,Free plan,unknown,,,Free startup checking; 1% cash back; up to 4.00% APY; partner marketplace,,No funding needed,pre-seed; seed; series-a; any,,,United States,Ongoing (Accelerator Checking launched Oct 2023),US-registered business.,high,,https://www.grasshopper.bank/press-releases/accelerator-checking/,https://www.grasshopper.bank/,https://startupperks.co/programs/grasshopper-bank-accelerator-checking
jibble-jibble-free-time-attendance-tracking,Jibble free time & attendance tracking,Jibble,jibble,finance-ops,Finance & Ops,Free plan,unknown,,,Free forever · Unlimited users,0,No funding needed,idea; pre-seed; seed,,,,Ongoing free tier,Premium add-ons (advanced payroll/reporting) are paid.,high,2026-09-09T18:00:49.096Z,https://www.jibble.io/pricing,https://www.jibble.io/pricing,https://startupperks.co/programs/jibble-jibble-free-time-attendance-tracking
fusionauth-fusionauth-community,FusionAuth Community,FusionAuth,fusionauth,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free self-hosted (unlimited users),,No funding needed,idea; pre-seed; seed,,,,Ongoing,,high,,https://fusionauth.io/pricing,https://fusionauth.io/pricing,https://startupperks.co/programs/fusionauth-fusionauth-community
doppler-doppler-developer-free-plan,Doppler Developer (free plan),Doppler,doppler,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free for 3 users,,No funding needed,idea; pre-seed; seed,,,,Ongoing,,high,2026-09-10T00:00:25.645Z,https://www.doppler.com/pricing,https://www.doppler.com/pricing,https://startupperks.co/programs/doppler-doppler-developer-free-plan
probo-probo-open-source-compliance,Probo (open source compliance),Probo,probo,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free / open source (self-host),,No funding needed,idea; pre-seed; seed,,,,Ongoing,,medium,,https://www.probo.com/,https://www.probo.com/,https://startupperks.co/programs/probo-probo-open-source-compliance
wiz-wiz-go-for-startups,Wiz Go for Startups,Wiz,wiz,security-legal-hr,"Security, Legal & HR",Program,unknown,,,Startup pricing bundle (Wiz Go),,Any startup,seed; series-a,,,,Ongoing,,high,,https://www.wiz.io/lp/startups,https://www.wiz.io/lp/startups,https://startupperks.co/programs/wiz-wiz-go-for-startups
propelauth-propelauth-free,PropelAuth Free,PropelAuth,propelauth,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free,,No funding needed,idea; pre-seed; seed,,,,Ongoing,,high,2026-09-10T00:00:25.645Z,https://www.propelauth.com/pricing,https://www.propelauth.com/pricing,https://startupperks.co/programs/propelauth-propelauth-free
scrut-automation-scrut-for-startups,Scrut for Startups,Scrut Automation,scrut-automation,security-legal-hr,"Security, Legal & HR",Program,unknown,,,Startup tier; 20% off first year via AWS Activate,,Any startup,seed; series-a,,,,Ongoing,,medium,,https://www.scrut.io/products/scrut-for-startup,https://www.scrut.io/products/scrut-for-startup,https://startupperks.co/programs/scrut-automation-scrut-for-startups
infisical-infisical-free,Infisical Free,Infisical,infisical,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,$0,0,No funding needed,idea; pre-seed; seed,,,,Ongoing,,high,2026-09-10T00:00:34.012Z,https://infisical.com/pricing,https://infisical.com/pricing,https://startupperks.co/programs/infisical-infisical-free
comp-ai-comp-ai-open-source-compliance,Comp AI (open source compliance),Comp AI,comp-ai,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free / open source (self-host),,No funding needed,idea; pre-seed; seed,,,,Ongoing,,high,,https://www.trycomp.ai/,https://www.trycomp.ai/,https://startupperks.co/programs/comp-ai-comp-ai-open-source-compliance
authentik-authentik-open-source,authentik Open Source,authentik,authentik,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free / open source (self-host),,No funding needed,idea; pre-seed; seed,,,,Ongoing,,high,,https://goauthentik.io/pricing/,https://goauthentik.io/pricing/,https://startupperks.co/programs/authentik-authentik-open-source
zitadel-zitadel-free,Zitadel Free,Zitadel,zitadel,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,US$0/Month,0,No funding needed,idea; pre-seed; seed,,,,Ongoing,,high,2026-09-10T00:00:34.012Z,https://zitadel.com/pricing,https://zitadel.com/pricing,https://startupperks.co/programs/zitadel-zitadel-free
logto-logto-free,Logto Free,Logto,logto,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,$0/mo,0,No funding needed,idea; pre-seed; seed,,,,Ongoing,,high,2026-09-10T00:00:34.012Z,https://logto.io/pricing,https://logto.io/pricing,https://startupperks.co/programs/logto-logto-free
